Infinitive,рассели́ться
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,рассели́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассели́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,расселю́сь
2nd Sing,рассели́шься
3rd Sing,рассели́тся
1st Pl,рассели́мся
2nd Pl,рассели́тесь
3rd Pl,расселя́тся
Past M,рассели́лся
Past F,рассели́лась
Past N,рассели́лось
Past PL,рассели́лись
Imp S,рассели́сь
Imp PL,рассели́тесь
