Infinitive,расслабля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расслабля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,расслабля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расслабля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,расслабля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расслабля́юсь
2nd Sing,расслабля́ешься
3rd Sing,расслабля́ется
1st Pl,расслабля́емся
2nd Pl,расслабля́етесь
3rd Pl,расслабля́ются
Past M,расслабля́лся
Past F,расслабля́лась
Past N,расслабля́лось
Past PL,расслабля́лись
Imp S,расслабля́йся
Imp PL,расслабля́йтесь
