Infinitive,растя́гиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,растя́гивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,растя́гивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,растя́гиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,растя́гивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,растя́гиваюсь
2nd Sing,растя́гиваешься
3rd Sing,растя́гивается
1st Pl,растя́гиваемся
2nd Pl,растя́гиваетесь
3rd Pl,растя́гиваются
Past M,растя́гивался
Past F,растя́гивалась
Past N,растя́гивалось
Past PL,растя́гивались
Imp S,растя́гивайся
Imp PL,растя́гивайтесь
