Infinitive,разбры́згивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разбры́згивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разбры́згивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разбры́згиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разбры́згиванный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,разбры́згивая
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,разбры́згивав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,разбры́згивавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,разбры́згиваю
2nd Sing,разбры́згиваешь
3rd Sing,разбры́згивает
1st Pl,разбры́згиваем
2nd Pl,разбры́згиваете
3rd Pl,разбры́згивают
Past M,разбры́згивал
Past F,разбры́згивала
Past N,разбры́згивало
Past PL,разбры́згивали
Imp S,разбры́згивай
Imp PL,разбры́згивайте
