Infinitive,расправля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расправля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,расправля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расправля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,расправля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расправля́юсь
2nd Sing,расправля́ешься
3rd Sing,расправля́ется
1st Pl,расправля́емся
2nd Pl,расправля́етесь
3rd Pl,расправля́ются
Past M,расправля́лся
Past F,расправля́лась
Past N,расправля́лось
Past PL,расправля́лись
Imp S,расправля́йся
Imp PL,расправля́йтесь
