Infinitive,разъеда́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разъеда́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разъеда́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разъеда́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разъеда́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,разъеда́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,разъеда́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,разъеда́ю
2nd Sing,разъеда́ешь
3rd Sing,разъеда́ет
1st Pl,разъеда́ем
2nd Pl,разъеда́ете
3rd Pl,разъеда́ют
Past M,разъеда́л
Past F,разъеда́ла
Past N,разъеда́ло
Past PL,разъеда́ли
Imp S,разъеда́й
Imp PL,разъеда́йте
