Infinitive,растяну́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,растяну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,растя́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,растяну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,растяну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,растяну́
2nd Sing,растя́нешь
3rd Sing,растя́нет
1st Pl,растя́нем
2nd Pl,растя́нете
3rd Pl,растя́нут
Past M,растяну́л
Past F,растяну́ла
Past N,растяну́ло
Past PL,растяну́ли
Imp S,растяни́
Imp PL,растяни́те
