Infinitive,разряди́ться
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разряди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разряди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разряжу́сь
2nd Sing,разряди́шься
3rd Sing,разряди́тся
1st Pl,разряди́мся
2nd Pl,разряди́тесь
3rd Pl,разрядя́тся
Past M,разряди́лся
Past F,разряди́лась
Past N,разряди́лось
Past PL,разряди́лись
Imp S,разряди́сь
Imp PL,разряди́тесь
