Infinitive,разде́лать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разде́лавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разде́ланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разде́лав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разде́лавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разде́лаю
2nd Sing,разде́лаешь
3rd Sing,разде́лает
1st Pl,разде́лаем
2nd Pl,разде́лаете
3rd Pl,разде́лают
Past M,разде́лал
Past F,разде́лала
Past N,разде́лало
Past PL,разде́лали
Imp S,разде́лай
Imp PL,разде́лайте
