Infinitive,разболе́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разболе́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разболе́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разболе́юсь
2nd Sing,разболе́ешься
3rd Sing,разболе́ется
1st Pl,разболе́емся
2nd Pl,разболе́етесь
3rd Pl,разболе́ются
Past M,разболе́лся
Past F,разболе́лась
Past N,разболе́лось
Past PL,разболе́лись
Imp S,разболе́йся
Imp PL,разболе́йтесь
