Infinitive,расха́живать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,расха́живающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,расха́живавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расха́живая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,расха́живав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,расха́живавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,расха́живаю
2nd Sing,расха́живаешь
3rd Sing,расха́живает
1st Pl,расха́живаем
2nd Pl,расха́живаете
3rd Pl,расха́живают
Past M,расха́живал
Past F,расха́живала
Past N,расха́живало
Past PL,расха́живали
Imp S,расха́живай
Imp PL,расха́живайте
