Infinitive,разгова́ривать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,разгова́ривающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разгова́ривавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разгова́ривая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разгова́ривав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,разгова́ривавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,разгова́риваю
2nd Sing,разгова́риваешь
3rd Sing,разгова́ривает
1st Pl,разгова́риваем
2nd Pl,разгова́риваете
3rd Pl,разгова́ривают
Past M,разгова́ривал
Past F,разгова́ривала
Past N,разгова́ривало
Past PL,разгова́ривали
Imp S,разгова́ривай
Imp PL,разгова́ривайте
