Infinitive,распаха́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распаха́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распа́ханный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распаха́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,распаха́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распашу́
2nd Sing,распа́шешь
3rd Sing,распа́шет
1st Pl,распа́шем
2nd Pl,распа́шете
3rd Pl,распа́шут
Past M,распаха́л
Past F,распаха́ла
Past N,распаха́ло
Past PL,распаха́ли
Imp S,распаши́
Imp PL,распаши́те
