Infinitive,распа́хиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распа́хивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,распа́хивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распа́хиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,распа́хивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распа́хиваюсь
2nd Sing,распа́хиваешься
3rd Sing,распа́хивается
1st Pl,распа́хиваемся
2nd Pl,распа́хиваетесь
3rd Pl,распа́хиваются
Past M,распа́хивался
Past F,распа́хивалась
Past N,распа́хивалось
Past PL,распа́хивались
Imp S,распа́хивайся
Imp PL,распа́хивайтесь
