Infinitive,распа́хивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распа́хивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,распа́хивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распа́хиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,распа́хивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,распа́хивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,распа́хивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,распа́хиваю
2nd Sing,распа́хиваешь
3rd Sing,распа́хивает
1st Pl,распа́хиваем
2nd Pl,распа́хиваете
3rd Pl,распа́хивают
Past M,распа́хивал
Past F,распа́хивала
Past N,распа́хивало
Past PL,распа́хивали
Imp S,распа́хивай
Imp PL,распа́хивайте
