Infinitive,растрево́жить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,растрево́живший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,растрево́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,растрево́жив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,растрево́живши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,растрево́жу
2nd Sing,растрево́жишь
3rd Sing,растрево́жит
1st Pl,растрево́жим
2nd Pl,растрево́жите
3rd Pl,растрево́жат
Past M,растрево́жил
Past F,растрево́жила
Past N,растрево́жило
Past PL,растрево́жили
Imp S,растрево́жь
Imp PL,растрево́жьте
