Infinitive,раска́чиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раска́чивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,раска́чивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раска́чиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,раска́чивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раска́чиваюсь
2nd Sing,раска́чиваешься
3rd Sing,раска́чивается
1st Pl,раска́чиваемся
2nd Pl,раска́чиваетесь
3rd Pl,раска́чиваются
Past M,раска́чивался
Past F,раска́чивалась
Past N,раска́чивалось
Past PL,раска́чивались
Imp S,раска́чивайся
Imp PL,раска́чивайтесь
