Infinitive,разви́ться
Zaliznyak Class,11*b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разви́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разви́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разовью́сь
2nd Sing,разовьёшься
3rd Sing,разовьётся
1st Pl,разовьёмся
2nd Pl,разовьётесь
3rd Pl,разовью́тся
Past M,разви́лся
Past F,развила́сь
Past N,развило́сь
Past PL,развили́сь
Imp S,разве́йся
Imp PL,разве́йтесь
