Infinitive,разреши́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разреши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разрешённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разреши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разреши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разрешу́
2nd Sing,разреши́шь
3rd Sing,разреши́т
1st Pl,разреши́м
2nd Pl,разреши́те
3rd Pl,разреша́т
Past M,разреши́л
Past F,разреши́ла
Past N,разреши́ло
Past PL,разреши́ли
Imp S,разреши́
Imp PL,разреши́те
