Infinitive,разводи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разводя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разводи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разводя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разводи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,развожу́сь
2nd Sing,разво́дишься
3rd Sing,разво́дится
1st Pl,разво́димся
2nd Pl,разво́дитесь
3rd Pl,разво́дятся
Past M,разводи́лся
Past F,разводи́лась
Past N,разводи́лось
Past PL,разводи́лись
Imp S,разводи́сь
Imp PL,разводи́тесь
