Infinitive,распространи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распространи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распространённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распространи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,распространи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распространю́
2nd Sing,распространи́шь
3rd Sing,распространи́т
1st Pl,распространи́м
2nd Pl,распространи́те
3rd Pl,распространя́т
Past M,распространи́л
Past F,распространи́ла
Past N,распространи́ло
Past PL,распространи́ли
Imp S,распространи́
Imp PL,распространи́те
