Infinitive,расчи́стить
Zaliznyak Class,4a[②]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расчи́стивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расчи́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расчи́стив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расчи́стивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расчи́щу
2nd Sing,расчи́стишь
3rd Sing,расчи́стит
1st Pl,расчи́стим
2nd Pl,расчи́стите
3rd Pl,расчи́стят
Past M,расчи́стил
Past F,расчи́стила
Past N,расчи́стило
Past PL,расчи́стили
Imp S,расчи́сти
Imp PL,расчи́стите
