Infinitive,расположи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расположи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,располо́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расположи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расположи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расположу́
2nd Sing,располо́жишь
3rd Sing,располо́жит
1st Pl,располо́жим
2nd Pl,располо́жите
3rd Pl,располо́жат
Past M,расположи́л
Past F,расположи́ла
Past N,расположи́ло
Past PL,расположи́ли
Imp S,расположи́
Imp PL,расположи́те
