Infinitive,разби́ться
Zaliznyak Class,11*b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разби́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разби́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разобью́сь
2nd Sing,разобьёшься
3rd Sing,разобьётся
1st Pl,разобьёмся
2nd Pl,разобьётесь
3rd Pl,разобью́тся
Past M,разби́лся
Past F,разби́лась
Past N,разби́лось
Past PL,разби́лись
Imp S,разбе́йся
Imp PL,разбе́йтесь
