Infinitive,разруби́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разруби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разру́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разруби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разруби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разрублю́
2nd Sing,разру́бишь
3rd Sing,разру́бит
1st Pl,разру́бим
2nd Pl,разру́бите
3rd Pl,разру́бят
Past M,разруби́л
Past F,разруби́ла
Past N,разруби́ло
Past PL,разруби́ли
Imp S,разруби́
Imp PL,разруби́те
