Infinitive,разверну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разверну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разверну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разверну́сь
2nd Sing,развернёшься
3rd Sing,развернётся
1st Pl,развернёмся
2nd Pl,развернётесь
3rd Pl,разверну́тся
Past M,разверну́лся
Past F,разверну́лась
Past N,разверну́лось
Past PL,разверну́лись
Imp S,разверни́сь
Imp PL,разверни́тесь
