Infinitive,растопы́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,растопы́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,растопы́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,растопы́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,растопы́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,растопы́рю
2nd Sing,растопы́ришь
3rd Sing,растопы́рит
1st Pl,растопы́рим
2nd Pl,растопы́рите
3rd Pl,растопы́рят
Past M,растопы́рил
Past F,растопы́рила
Past N,растопы́рило
Past PL,растопы́рили
Imp S,растопы́рь
Imp PL,растопы́рьте
