Infinitive,разгрузи́ть
Zaliznyak Class,4c // 4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разгрузи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разгру́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,разгружённый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,разгрузи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,разгрузи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,разгружу́
2nd Sing,разгру́зишь
3rd Sing,разгру́зит
1st Pl,разгру́зим
2nd Pl,разгру́зите
3rd Pl,разгру́зят
Past M,разгрузи́л
Past F,разгрузи́ла
Past N,разгрузи́ло
Past PL,разгрузи́ли
Imp S,разгрузи́
Imp PL,разгрузи́те
