Infinitive,распи́ть
Zaliznyak Class,11*b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распи́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,распи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разопью́
2nd Sing,разопьёшь
3rd Sing,разопьёт
1st Pl,разопьём
2nd Pl,разопьёте
3rd Pl,разопью́т
Past M,распи́л
Past F,распила́
Past N,распи́ло
Past PL,распи́ли
Imp S,распе́й
Imp PL,распе́йте
