Infinitive,расшифро́вывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расшифро́вывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,расшифро́вывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расшифро́вываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,расшифро́вывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,расшифро́вывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,расшифро́вывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,расшифро́вываю
2nd Sing,расшифро́вываешь
3rd Sing,расшифро́вывает
1st Pl,расшифро́вываем
2nd Pl,расшифро́вываете
3rd Pl,расшифро́вывают
Past M,расшифро́вывал
Past F,расшифро́вывала
Past N,расшифро́вывало
Past PL,расшифро́вывали
Imp S,расшифро́вывай
Imp PL,расшифро́вывайте
