Infinitive,раскла́няться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раскла́нявшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раскла́нявшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,раскла́няюсь
2nd Sing,раскла́няешься
3rd Sing,раскла́няется
1st Pl,раскла́няемся
2nd Pl,раскла́няетесь
3rd Pl,раскла́няются
Past M,раскла́нялся
Past F,раскла́нялась
Past N,раскла́нялось
Past PL,раскла́нялись
Imp S,раскла́няйся
Imp PL,раскла́няйтесь
