Infinitive,разгра́бить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разгра́бивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разгра́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разгра́бив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разгра́бивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разгра́блю
2nd Sing,разгра́бишь
3rd Sing,разгра́бит
1st Pl,разгра́бим
2nd Pl,разгра́бите
3rd Pl,разгра́бят
Past M,разгра́бил
Past F,разгра́била
Past N,разгра́било
Past PL,разгра́били
Imp S,разгра́бь
Imp PL,разгра́бьте
