Infinitive,ра́товать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ра́тующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ра́товавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ра́туя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ра́товав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ра́товавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ра́тую
2nd Sing,ра́туешь
3rd Sing,ра́тует
1st Pl,ра́туем
2nd Pl,ра́туете
3rd Pl,ра́туют
Past M,ра́товал
Past F,ра́товала
Past N,ра́товало
Past PL,ра́товали
Imp S,ра́туй
Imp PL,ра́туйте
