Infinitive,распозна́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распозна́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распо́знанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распозна́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,распозна́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распозна́ю
2nd Sing,распозна́ешь
3rd Sing,распозна́ет
1st Pl,распозна́ем
2nd Pl,распозна́ете
3rd Pl,распозна́ют
Past M,распозна́л
Past F,распозна́ла
Past N,распозна́ло
Past PL,распозна́ли
Imp S,распозна́й
Imp PL,распозна́йте
