Infinitive,разби́ть
Zaliznyak Class,11*b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разби́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разобью́
2nd Sing,разобьёшь
3rd Sing,разобьёт
1st Pl,разобьём
2nd Pl,разобьёте
3rd Pl,разобью́т
Past M,разби́л
Past F,разби́ла
Past N,разби́ло
Past PL,разби́ли
Imp S,разбе́й
Imp PL,разбе́йте
