Infinitive,раствори́ть
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раствори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,растворённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,раство́ренный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,раствори́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,раствори́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,растворю́
2nd Sing,раствори́шь
3rd Sing,раствори́т
1st Pl,раствори́м
2nd Pl,раствори́те
3rd Pl,растворя́т
Past M,раствори́л
Past F,раствори́ла
Past N,раствори́ло
Past PL,раствори́ли
Imp S,раствори́
Imp PL,раствори́те
