Infinitive,раскры́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раскры́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раскры́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,раскро́юсь
2nd Sing,раскро́ешься
3rd Sing,раскро́ется
1st Pl,раскро́емся
2nd Pl,раскро́етесь
3rd Pl,раскро́ются
Past M,раскры́лся
Past F,раскры́лась
Past N,раскры́лось
Past PL,раскры́лись
Imp S,раскро́йся
Imp PL,раскро́йтесь
