Infinitive,разъясни́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разъясни́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разъясни́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разъясню́сь
2nd Sing,разъясни́шься
3rd Sing,разъясни́тся
1st Pl,разъясни́мся
2nd Pl,разъясни́тесь
3rd Pl,разъясня́тся
Past M,разъясни́лся
Past F,разъясни́лась
Past N,разъясни́лось
Past PL,разъясни́лись
Imp S,разъясни́сь
Imp PL,разъясни́тесь
