Infinitive,разогре́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разогре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разогре́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разогре́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разогре́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разогре́ю
2nd Sing,разогре́ешь
3rd Sing,разогре́ет
1st Pl,разогре́ем
2nd Pl,разогре́ете
3rd Pl,разогре́ют
Past M,разогре́л
Past F,разогре́ла
Past N,разогре́ло
Past PL,разогре́ли
Imp S,разогре́й
Imp PL,разогре́йте
