Infinitive,размину́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,размину́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,размину́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,размину́сь
2nd Sing,разминёшься
3rd Sing,разминётся
1st Pl,разминёмся
2nd Pl,разминётесь
3rd Pl,размину́тся
Past M,размину́лся
Past F,размину́лась
Past N,размину́лось
Past PL,размину́лись
Imp S,размини́сь
Imp PL,размини́тесь
