Infinitive,развле́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,развлёкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,развлечённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,развлёкши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,развлеку́
2nd Sing,развлечёшь
3rd Sing,развлечёт
1st Pl,развлечём
2nd Pl,развлечёте
3rd Pl,развлеку́т
Past M,развлёк
Past F,развлекла́
Past N,развлекло́
Past PL,развлекли́
Imp S,развлеки́
Imp PL,развлеки́те
