Infinitive,размести́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,размести́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,размести́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,размещу́сь
2nd Sing,размести́шься
3rd Sing,размести́тся
1st Pl,размести́мся
2nd Pl,размести́тесь
3rd Pl,разместя́тся
Past M,размести́лся
Past F,размести́лась
Past N,размести́лось
Past PL,размести́лись
Imp S,размести́сь
Imp PL,размести́тесь
