Infinitive,раздава́ть
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раздаю́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,раздава́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раздава́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,раздава́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,раздава́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,раздава́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,раздаю́
2nd Sing,раздаёшь
3rd Sing,раздаёт
1st Pl,раздаём
2nd Pl,раздаёте
3rd Pl,раздаю́т
Past M,раздава́л
Past F,раздава́ла
Past N,раздава́ло
Past PL,раздава́ли
Imp S,раздава́й
Imp PL,раздава́йте
