Infinitive,разгла́дить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разгла́дивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разгла́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разгла́див
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разгла́дивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разгла́жу
2nd Sing,разгла́дишь
3rd Sing,разгла́дит
1st Pl,разгла́дим
2nd Pl,разгла́дите
3rd Pl,разгла́дят
Past M,разгла́дил
Past F,разгла́дила
Past N,разгла́дило
Past PL,разгла́дили
Imp S,разгла́дь
Imp PL,разгла́дьте
