Infinitive,разу́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разу́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разу́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разу́юсь
2nd Sing,разу́ешься
3rd Sing,разу́ется
1st Pl,разу́емся
2nd Pl,разу́етесь
3rd Pl,разу́ются
Past M,разу́лся
Past F,разу́лась
Past N,разу́лось
Past PL,разу́лись
Imp S,разу́йся
Imp PL,разу́йтесь
