Infinitive,разгора́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разгора́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разгора́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разгора́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разгора́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разгора́юсь
2nd Sing,разгора́ешься
3rd Sing,разгора́ется
1st Pl,разгора́емся
2nd Pl,разгора́етесь
3rd Pl,разгора́ются
Past M,разгора́лся
Past F,разгора́лась
Past N,разгора́лось
Past PL,разгора́лись
Imp S,разгора́йся
Imp PL,разгора́йтесь
