Infinitive,распеча́тывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распеча́тывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,распеча́тывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распеча́тываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,распеча́тывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,распеча́тывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,распеча́тывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,распеча́тываю
2nd Sing,распеча́тываешь
3rd Sing,распеча́тывает
1st Pl,распеча́тываем
2nd Pl,распеча́тываете
3rd Pl,распеча́тывают
Past M,распеча́тывал
Past F,распеча́тывала
Past N,распеча́тывало
Past PL,распеча́тывали
Imp S,распеча́тывай
Imp PL,распеча́тывайте
