Infinitive,размахну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,размахну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,размахну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,размахну́сь
2nd Sing,размахнёшься
3rd Sing,размахнётся
1st Pl,размахнёмся
2nd Pl,размахнётесь
3rd Pl,размахну́тся
Past M,размахну́лся
Past F,размахну́лась
Past N,размахну́лось
Past PL,размахну́лись
Imp S,размахни́сь
Imp PL,размахни́тесь
