Infinitive,разогну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разогну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разо́гнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разогну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разогну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разогну́
2nd Sing,разогнёшь
3rd Sing,разогнёт
1st Pl,разогнём
2nd Pl,разогнёте
3rd Pl,разогну́т
Past M,разогну́л
Past F,разогну́ла
Past N,разогну́ло
Past PL,разогну́ли
Imp S,разогни́
Imp PL,разогни́те
