Infinitive,расчлени́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расчлени́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расчленённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расчлени́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расчлени́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расчленю́
2nd Sing,расчлени́шь
3rd Sing,расчлени́т
1st Pl,расчлени́м
2nd Pl,расчлени́те
3rd Pl,расчленя́т
Past M,расчлени́л
Past F,расчлени́ла
Past N,расчлени́ло
Past PL,расчлени́ли
Imp S,расчлени́
Imp PL,расчлени́те
