Infinitive,раскрасне́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раскрасне́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раскрасне́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,раскрасне́юсь
2nd Sing,раскрасне́ешься
3rd Sing,раскрасне́ется
1st Pl,раскрасне́емся
2nd Pl,раскрасне́етесь
3rd Pl,раскрасне́ются
Past M,раскрасне́лся
Past F,раскрасне́лась
Past N,раскрасне́лось
Past PL,раскрасне́лись
Imp S,раскрасне́йся
Imp PL,раскрасне́йтесь
