Infinitive,раскали́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раскали́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раскалённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раскали́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раскали́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раскалю́
2nd Sing,раскали́шь
3rd Sing,раскали́т
1st Pl,раскали́м
2nd Pl,раскали́те
3rd Pl,раскаля́т
Past M,раскали́л
Past F,раскали́ла
Past N,раскали́ло
Past PL,раскали́ли
Imp S,раскали́
Imp PL,раскали́те
