Infinitive,разбушева́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разбушева́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разбушева́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разбушу́юсь
2nd Sing,разбушу́ешься
3rd Sing,разбушу́ется
1st Pl,разбушу́емся
2nd Pl,разбушу́етесь
3rd Pl,разбушу́ются
Past M,разбушева́лся
Past F,разбушева́лась
Past N,разбушева́лось
Past PL,разбушева́лись
Imp S,разбушу́йся
Imp PL,разбушу́йтесь
