Infinitive,разойти́сь
Zaliznyak Class,irreg-b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разоше́дшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разоше́дшисься
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,разойдя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,разойду́сь
2nd Sing,разойдёшься
3rd Sing,разойдётся
1st Pl,разойдёмся
2nd Pl,разойдётесь
3rd Pl,разойду́тся
Past M,разошёлся
Past F,разошла́сь
Past N,разошло́сь
Past PL,разошли́сь
Imp S,разойди́сь
Imp PL,разойди́тесь
