Infinitive,разрыда́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разрыда́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разрыда́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разрыда́юсь
2nd Sing,разрыда́ешься
3rd Sing,разрыда́ется
1st Pl,разрыда́емся
2nd Pl,разрыда́етесь
3rd Pl,разрыда́ются
Past M,разрыда́лся
Past F,разрыда́лась
Past N,разрыда́лось
Past PL,разрыда́лись
Imp S,разрыда́йся
Imp PL,разрыда́йтесь
