Infinitive,разорва́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разорва́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разорва́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разорву́сь
2nd Sing,разорвёшься
3rd Sing,разорвётся
1st Pl,разорвёмся
2nd Pl,разорвётесь
3rd Pl,разорву́тся
Past M,разорва́лся
Past F,разорвала́сь
Past N,разорвало́сь
Past PL,разорвали́сь
Imp S,разорви́сь
Imp PL,разорви́тесь
