Infinitive,рассы́паться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,рассы́павшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассы́павшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,рассы́плюсь
2nd Sing,рассы́плешься
3rd Sing,рассы́плется
1st Pl,рассы́племся
2nd Pl,рассы́плетесь
3rd Pl,рассы́плются
Past M,рассы́пался
Past F,рассы́палась
Past N,рассы́палось
Past PL,рассы́пались
Imp S,рассы́пься
Imp PL,рассы́пьтесь
