Infinitive,разогна́ть
Zaliznyak Class,5c/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разогна́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разо́гнанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разогна́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разогна́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разгоню́
2nd Sing,разго́нишь
3rd Sing,разго́нит
1st Pl,разго́ним
2nd Pl,разго́ните
3rd Pl,разго́нят
Past M,разогна́л
Past F,разогнала́
Past N,разогна́ло
Past PL,разогна́ли
Imp S,разгони́
Imp PL,разгони́те
