Infinitive,развесели́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,развесели́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,развесели́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,развеселю́сь
2nd Sing,развесели́шься
3rd Sing,развесели́тся
1st Pl,развесели́мся
2nd Pl,развесели́тесь
3rd Pl,развеселя́тся
Past M,развесели́лся
Past F,развесели́лась
Past N,развесели́лось
Past PL,развесели́лись
Imp S,развесели́сь
Imp PL,развесели́тесь
