Infinitive,расстава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расстаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,расстава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расстава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,расстава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расстаю́сь
2nd Sing,расстаёшься
3rd Sing,расстаётся
1st Pl,расстаёмся
2nd Pl,расстаётесь
3rd Pl,расстаю́тся
Past M,расстава́лся
Past F,расстава́лась
Past N,расстава́лось
Past PL,расстава́лись
Imp S,расстава́йся
Imp PL,расстава́йтесь
