Infinitive,разорва́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разорва́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разо́рванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разорва́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разорва́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разорву́
2nd Sing,разорвёшь
3rd Sing,разорвёт
1st Pl,разорвём
2nd Pl,разорвёте
3rd Pl,разорву́т
Past M,разорва́л
Past F,разорвала́
Past N,разорва́ло
Past PL,разорва́ли
Imp S,разорви́
Imp PL,разорви́те
