Infinitive,разве́яться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разве́явшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разве́явшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разве́юсь
2nd Sing,разве́ешься
3rd Sing,разве́ется
1st Pl,разве́емся
2nd Pl,разве́етесь
3rd Pl,разве́ются
Past M,разве́ялся
Past F,разве́ялась
Past N,разве́ялось
Past PL,разве́ялись
Imp S,разве́йся
Imp PL,разве́йтесь
