Infinitive,разлома́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разлома́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разло́манный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разлома́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разлома́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разлома́ю
2nd Sing,разлома́ешь
3rd Sing,разлома́ет
1st Pl,разлома́ем
2nd Pl,разлома́ете
3rd Pl,разлома́ют
Past M,разлома́л
Past F,разлома́ла
Past N,разлома́ло
Past PL,разлома́ли
Imp S,разлома́й
Imp PL,разлома́йте
