Infinitive,расспра́шивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расспра́шивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,расспра́шивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расспра́шиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,расспра́шивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,расспра́шивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,расспра́шивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,расспра́шиваю
2nd Sing,расспра́шиваешь
3rd Sing,расспра́шивает
1st Pl,расспра́шиваем
2nd Pl,расспра́шиваете
3rd Pl,расспра́шивают
Past M,расспра́шивал
Past F,расспра́шивала
Past N,расспра́шивало
Past PL,расспра́шивали
Imp S,расспра́шивай
Imp PL,расспра́шивайте
